accuracy,loss
0.5965666770935059,1.2000681161880493
0.0,0.0
0.770633339881897,0.7073957324028015
0.0,0.0
0.8101500272750854,0.5901638269424438
0.0,0.0
0.8296999931335449,0.5262206792831421
0.0,0.0
0.8424333333969116,0.48748350143432617
0.0,0.0
0.8511833548545837,0.46468687057495117
0.0,0.0
0.857699990272522,0.4421926438808441
0.0,0.0
0.8609333038330078,0.42892980575561523
0.0,0.0
0.8672500252723694,0.41003671288490295
0.0,0.0
0.8699666857719421,0.40526825189590454
0.0,0.0
0.8731499910354614,0.39061611890792847
0.0,0.0
0.8759833574295044,0.3817829191684723
0.0,0.0
0.8805333375930786,0.37199100852012634
0.0,0.0
0.8803166747093201,0.37144404649734497
0.0,0.0
0.8833833336830139,0.3625696897506714
0.0,0.0
0.8848333358764648,0.35520198941230774
0.0,0.0
0.8859500288963318,0.3508525490760803
0.0,0.0
0.8876833319664001,0.347141832113266
0.0,0.0
0.8902666568756104,0.3429272174835205
0.0,0.0
0.8927000164985657,0.33744102716445923
0.0,0.0
0.8927666544914246,0.3363751173019409
0.0,0.0
0.8926833271980286,0.3336530029773712
0.0,0.0
0.8938999772071838,0.3306262791156769
0.0,0.0
0.8937166929244995,0.3311774432659149
0.0,0.0
0.8955000042915344,0.32184499502182007
0.0,0.0
0.8947833180427551,0.32663074135780334
0.0,0.0
0.8968499898910522,0.32178980112075806
0.0,0.0
0.8980833292007446,0.31695541739463806
0.0,0.0
0.9002333283424377,0.31031376123428345
0.0,0.0
0.8984500169754028,0.3161396086215973
0.0,0.0
